Stock,Date,EPS Reported,EPS Surprise,Beat Estimate,EPS Estimate,Net Profit Margin,Return On Assets,Current EPS Growth,Fiscal Year EPS Growth,Cash Flow Accruals,Balance Sheet Accruals,Quick Ratio,Price Earnings Ratio,Debt Equity Ratio,Return On Equity,Current Ratio,Price To Sales Ratio,Price To Book Ratio,Dividend Yield,Dividend Payout Ratio,Asset Turnover,Inventory Turnover,Cash Ratio,Gross Profit Growth,EPS Growth,Free Cash Flow Growth,Receivables Growth,Asset Growth,Debt Growth,R&D Growth
UEPS,2019-09-26,-2.45,-2962.5,-1,-0.08,-0.6335,-0.06523792001733834,-2.6842,-0.1504,-0.04840686055608944,-0.08668989223406638,0.86698191007776,8.0531,0.0771,0.1002,1.511,0.8443,0.5058,-0.0,-0.0,0.5026605647549,66.6872,0.3081940870624,-0.5722,-2.6842,-1.1911,-0.479,-0.4004,0.2538,0.0
ACN,2019-09-26,1.74,+1.75,1,1.71,0.1126,0.04437775337437083,0.2063,0.1654,-0.03104186762777575,0.037319289921738434,1.2373156118585,26.1718,0.0024,0.3917,1.338,2.7418,5.6815,0.0163631619457,0.42087762108836,1.701635517373,0.0,0.49857014814489,0.0589,0.2025,0.0933,0.0861,0.211,-0.1669,0.0
CAG,2019-09-26,0.43,+13.16,1,0.38,0.0484,0.00569465827548641,0.3889,-0.2323,-0.010925640817869973,0.36267187677321006,0.49859983197984,18.6013,1.4459,0.0919,1.276,1.4498,2.2847,0.025757220935421,0.52513637033761,0.42939073909012,7.4507,0.11042658452348,0.2304,0.3158,5.9755,0.4607,1.1381,1.7982,0.0
CAMP,2019-09-26,0.14,+27.27,1,0.11,-0.0976,-0.013339082452807606,-2.1304,0.1304,-0.004819746690931634,0.12133633160848917,4.2120178964494,26.2264,1.3416,0.0895,4.827,1.309,0.9791,-0.0,-0.0,0.6026910702985,10.6475,3.0684754521964,-0.0704,-2.0833,-1.3649,0.0548,0.3208,1.0814,0.0432
PRGS,2019-09-26,0.75,+10.29,1,0.68,0.0818,0.009857754803260614,-0.3571,0.7922,-0.03915267410125255,-0.05471402953184021,1.088295687885,25.295,0.3583,0.196,1.244,3.9751,5.862,0.016225340246321,0.40618355357452,0.61657222696577,0.0,0.74993280798134,0.0809,-0.3571,0.1405,0.4489,0.3029,1.5059,0.0941
PRGS,2019-09-26,0.75,+10.29,1,0.68,0.0818,0.009857754803260614,-0.3571,0.7922,-0.03915267410125255,-0.05471402953184021,1.088295687885,25.295,0.3583,0.196,1.244,3.9751,5.862,0.016225340246321,0.40618355357452,0.61657222696577,0.0,0.74993280798134,0.0809,-0.3571,0.1405,0.4489,0.3029,1.5059,0.0941
FDS,2019-09-26,2.61,+5.67,1,2.47,0.2531,0.061025821135114004,0.2408,0.0415,-0.04464908747332001,0.0021646717938181887,1.7840811453689,33.2449,1.0929,0.5079,1.949,6.5171,15.4336,0.010144521659119,0.33475485332385,0.95117676109076,0.0,0.94342344460825,0.1479,0.2423,0.2398,0.0565,0.0744,-0.0011,0.0
MU,2019-09-26,0.56,+14.29,1,0.49,0.1754,0.01814725198755617,-0.7613,1.61,-0.04042084341513999,0.1021445268828133,2.1341675356274,4.2999,0.1436,0.4377,2.787,2.0135,1.4611,-0.0,-0.0,0.70064090741424,9.0476,1.1306916927355,-0.613,-0.7697,-0.8335,-0.3369,0.1062,-0.3319,0.005
OMN,2019-09-26,0.15,-28.57,-1,0.21,0.0272,0.009590683336187704,-0.3684,1.2323,0.0035965062510703886,-0.01963394342762063,1.2421524663677,17.7174,5.6059,0.3594,1.891,0.4751,0.782,-0.0,-0.0,1.306517311609,9.9137,0.40433482810164,-0.0543,-0.3158,-1.3959,0.0775,0.0072,0.0378,0.0
MTN,2019-09-26,-2.22,+12.25,1,-2.53,0.3049,0.06697657399557148,0.154,0.749,0.030428036189277016,-0.005593892732391665,0.70056433408578,29.4543,0.8007,0.239,0.908,5.5501,4.8357,0.018684452585207,0.53741004164276,0.49484893421475,23.6095,0.31171456487315,0.1331,0.1451,-0.011,0.24,0.0702,0.2176,0.0
AIR,2019-09-25,0.57,+11.76,1,0.51,0.0405,0.015027682573161087,1.0,-0.4878,-0.013248088584234116,-0.00246556428547947,0.66825174825175,150.45,0.1564,0.0083,2.664,0.5143,0.7653,0.0099511629032845,1.4,1.3523596098075,4.1686,0.11496503496503,0.1181,0.9118,0.3597,-0.0208,-0.0049,-0.2003,0.0
FUL,2019-09-25,0.86,-4.44,-1,0.9,0.0482,0.00882944597702479,-0.186,1.8609,-0.00968513666953905,-0.023033825027425396,1.1825193225702,14.2012,1.9496,0.1485,1.996,0.8002,1.24,0.012897501428088,0.18179057053409,0.72815454010402,8.4406,0.27611545384465,-0.0078,-0.1818,0.4193,0.0455,-0.0436,-0.0878,0.0
WOR,2019-09-25,0.62,-12.68,-1,0.71,0.0402,0.015030293181923183,0.2642,-0.1625,-0.013116955738339554,-0.021624784246060902,0.85141829746999,12.7388,0.9014,0.1846,1.67,0.5204,0.9626,0.026801231854961,0.34103808934215,1.4973562169129,8.0135,0.13232142345492,-0.2267,0.2642,-0.1932,-0.1235,-0.0423,-0.0014,0.0
AZO,2019-09-24,22.59,+3.62,1,21.8,0.1459,0.04153466329163657,0.1915,0.1066,-0.006508972000482927,0.00468641479298842,0.094649073981825,15.4858,-3.2926,-0.8798,0.922,1.8092,2.2329,-0.0,-0.0,1.2005029431966,2.8677,0.043316328874311,0.0485,0.2004,-0.1722,0.0777,0.0507,0.0398,0.0
CTAS,2019-09-24,2.32,+7.91,1,2.15,0.1261,0.030405980532663714,0.241,0.0569,-0.02299768363816992,0.033237382524170404,0.89273347503354,26.8885,0.9491,0.2947,1.983,3.3656,5.6584,0.0095169386693694,0.24945620301453,0.92680062641007,22.4163,0.085698476501087,0.0947,0.2456,0.4419,0.1312,0.0688,0.124,0.0
NEOG,2019-09-24,0.28,-3.45,-1,0.29,0.1441,0.022731192686923276,-0.0909,-0.0496,-0.00727570644206169,0.05916731430433059,9.1528587487909,48.5776,0.0,0.0943,11.752,7.091,5.6008,-0.0,-0.0,0.59531721620145,5.1135,1.0898538600298,0.0419,-0.1176,0.0104,0.0442,0.1258,0.0,0.827
SNX,2019-09-24,3.3,+15.38,1,2.86,0.02,0.010151953386133577,-0.047,-0.0426,0.0003150951786092144,0.19982159880894027,0.89771272645276,11.1674,1.0061,0.0875,1.446,0.206,0.4706,0.018085796834259,0.19867064983799,1.7372345886836,8.8048,0.091790116615563,0.6275,-0.0468,0.9475,0.4036,0.5413,0.9438,0.0
CMTL,2019-09-24,0.25,+150,1,0.1,0.0447,0.00842513506005067,-0.0882,0.8507,-0.03673876879246741,0.00780696628945517,1.1548972876189,26.88,0.332,0.0589,1.692,1.3922,2.5536,0.012051736304661,0.3204004165407,0.67512781648853,8.4109,0.26303564083331,0.0317,-0.0882,1.034,0.1218,0.0832,-0.0418,0.0542
KMX,2019-09-24,1.4,+5.26,1,1.33,0.0497,0.01353036215621455,0.1955,0.3306,0.011339028234886892,0.03401807180112749,9.9549023300641,12.8571,4.2219,0.2509,2.451,0.5812,0.5626,-0.0,-0.0,0.97089588252764,7.4023,0.03578930834634,0.1225,0.194,-1.2362,0.081,0.1103,0.1278,0.0
RICK,2019-09-24,0.59,-3.28,-1,0.61,0.1441,0.018080358415175645,0.0727,1.6235,-0.06289935533148273,0.047406673273868515,0.74002068252327,13.2422,0.9165,0.1415,1.087,1.7315,1.3373,0.0040873323835075,0.053792658775849,0.50267489961545,73.6331,0.5237405820653,-0.3283,0.0727,-0.2267,0.0052,0.0956,0.2151,0.0
RICK,2019-09-24,0.59,-3.28,-1,0.61,0.1441,0.018080358415175645,0.0727,1.6235,-0.06289935533148273,0.047406673273868515,0.74002068252327,13.2422,0.9165,0.1415,1.087,1.7315,1.3373,0.0040873323835075,0.053792658775849,0.50267489961545,73.6331,0.5237405820653,-0.3283,0.0727,-0.2267,0.0052,0.0956,0.2151,0.0
INFO,2019-09-24,0.67,+6.35,1,0.63,0.1319,0.009343054767265628,0.3214,0.33,-0.01714556579119707,0.04925089901916274,0.39344050338318,38.6739,0.7081,0.0676,0.474,5.2471,12.1048,-0.0,-0.0,0.24960310789862,0.0,0.051717450329699,0.1056,0.2759,0.1077,0.2127,0.1084,0.179,0.0
